Flora	Mac	Time	Name	Temp	moisture	light	conductivity	battery
Flora1	C4:7C:8D:64:76:67	2019-10-30 03:00:01	Flower care	22.2	43	1005	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 03:00:01	Flower care	22.4	41	1316	1020	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 03:10:01	Flower care	21.7	43	967	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 03:10:01	Flower care	22.1	41	1144	1025	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 03:20:01	Flower care	21.6	43	1643	369	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 03:20:01	Flower care	22.1	41	1089	1031	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 03:30:01	Flower care	22.7	43	931	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 03:30:01	Flower care	23.0	41	1005	1009	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 03:40:01	Flower care	22.3	43	1604	363	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 03:40:01	Flower care	22.5	41	1082	1018	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 03:50:01	Flower care	21.9	43	1708	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 03:50:01	Flower care	22.2	41	1136	1024	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 04:00:01	Flower care	21.7	43	1033	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 04:00:01	Flower care	22.1	41	1038	1031	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 04:10:01	Flower care	22.4	43	1416	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 04:10:01	Flower care	22.7	41	1155	1020	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 04:20:01	Flower care	22.5	43	1009	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 04:20:01	Flower care	22.7	41	1132	1011	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 04:30:01	Flower care	22.0	42	1499	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 04:30:01	Flower care	22.3	41	1050	1022	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 04:40:01	Flower care	21.4	43	1178	373	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 04:40:01	Flower care	22.1	41	900	1021	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 04:50:02	Flower care	21.8	43	1459	371	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 04:50:02	Flower care	22.4	41	1452	1016	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 05:00:01	Flower care	22.8	43	1678	362	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 05:00:01	Flower care	23.0	41	1215	1005	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 05:10:02	Flower care	22.2	43	1040	366	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 05:10:02	Flower care	22.6	41	927	1012	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 05:20:01	Flower care	21.9	43	1421	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 05:20:01	Flower care	22.2	41	1070	1020	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 05:30:02	Flower care	21.6	43	990	370	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 05:30:02	Flower care	22.2	41	1312	1020	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 05:40:01	Flower care	22.4	43	958	368	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 05:40:01	Flower care	22.8	41	1186	1009	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 05:50:02	Flower care	22.5	43	1081	364	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 05:50:02	Flower care	22.8	41	1361	1009	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 06:00:01	Flower care	22.0	42	1062	367	100
Flora2	C4:7C:8D:64:5D:17	2019-10-30 06:00:01	Flower care	22.2	41	1034	1020	100
Flora1	C4:7C:8D:64:76:67	2019-10-30 06:10:02	Flower care	21.6	42	1479	372	100
