Position	MacAddress	Time	Name	Temperature	Moisture	Light	Conductivity	Battery
In	C4:7C:8D:64:76:67	2019-07-07 18:00:01	Flower care	27.4	47	32	459	99
Out	C4:7C:8D:64:5D:17	2019-07-07 18:00:07	Flower care	27.3	33	2589	233	86
In	C4:7C:8D:64:76:67	2019-07-07 18:20:01	Flower care	27.4	47	35	457	99
Out	C4:7C:8D:64:5D:17	2019-07-07 18:20:04	Flower care	27.0	32	2231	230	86
In	C4:7C:8D:64:76:67	2019-07-07 18:40:01	Flower care	27.4	47	34	454	99
Out	C4:7C:8D:64:5D:17	2019-07-07 18:40:03	Flower care	26.7	32	1779	232	83
In	C4:7C:8D:64:76:67	2019-07-07 19:00:01	Flower care	27.4	47	0	457	99
Out	C4:7C:8D:64:5D:17	2019-07-07 19:00:05	Flower care	26.7	32	1182	230	85
In	C4:7C:8D:64:76:67	2019-07-07 19:20:01	Flower care	27.4	47	17	454	99
Out	C4:7C:8D:64:5D:17	2019-07-07 19:20:06	Flower care	26.2	32	453	229	84
In	C4:7C:8D:64:76:67	2019-07-07 19:40:01	Flower care	27.5	47	17	453	99
Out	C4:7C:8D:64:5D:17	2019-07-07 19:40:05	Flower care	25.7	31	240	229	81
In	C4:7C:8D:64:76:67	2019-07-07 20:00:01	Flower care	27.4	46	17	454	99
Out	C4:7C:8D:64:5D:17	2019-07-07 20:00:04	Flower care	25.6	31	168	227	80
In	C4:7C:8D:64:76:67	2019-07-07 20:20:01	Flower care	27.4	47	35	452	99
Out	C4:7C:8D:64:5D:17	2019-07-07 20:20:05	Flower care	25.5	31	168	226	81
In	C4:7C:8D:64:76:67	2019-07-07 20:40:01	Flower care	27.0	46	0	453	99
Out	C4:7C:8D:64:5D:17	2019-07-07 20:40:05	Flower care	23.8	31	73	228	80
In	C4:7C:8D:64:76:67	2019-07-07 21:00:01	Flower care	27.2	46	17	454	99
Out	C4:7C:8D:64:5D:17	2019-07-07 21:00:03	Flower care	22.5	31	136	230	75
In	C4:7C:8D:64:76:67	2019-07-07 21:20:02	Flower care	27.4	46	34	449	99
Out	C4:7C:8D:64:5D:17	2019-07-07 21:20:04	Flower care	21.9	31	0	228	71
In	C4:7C:8D:64:76:67	2019-07-07 21:40:01	Flower care	27.2	46	0	451	99
Out	C4:7C:8D:64:5D:17	2019-07-07 21:40:05	Flower care	21.6	30	177	224	69
In	C4:7C:8D:64:76:67	2019-07-07 22:00:01	Flower care	27.2	46	17	451	99
Out	C4:7C:8D:64:5D:17	2019-07-07 22:00:08	Flower care	21.5	30	136	222	66
In	C4:7C:8D:64:76:67	2019-07-07 22:20:01	Flower care	27.2	46	34	448	99
Out	C4:7C:8D:64:5D:17	2019-07-07 22:20:04	Flower care	21.4	30	172	222	69
In	C4:7C:8D:64:76:67	2019-07-07 22:40:02	Flower care	27.2	46	0	448	99
Out	C4:7C:8D:64:5D:17	2019-07-07 22:40:04	Flower care	21.6	30	177	219	66
In	C4:7C:8D:64:76:67	2019-07-07 23:00:01	Flower care	27.2	46	17	448	99
Out	C4:7C:8D:64:5D:17	2019-07-07 23:00:05	Flower care	21.5	30	118	218	66
In	C4:7C:8D:64:76:67	2019-07-07 23:20:02	Flower care	27.2	46	17	446	99
Out	C4:7C:8D:64:5D:17	2019-07-07 23:20:05	Flower care	21.5	30	172	218	69
In	C4:7C:8D:64:76:67	2019-07-07 23:40:02	Flower care	27.4	46	17	444	99
Out	C4:7C:8D:64:5D:17	2019-07-07 23:40:06	Flower care	21.8	30	55	217	69
In	C4:7C:8D:64:76:67	2019-07-08 00:00:01	Flower care	27.4	46	35	444	99
Out	C4:7C:8D:64:5D:17	2019-07-08 00:00:05	Flower care	21.5	30	158	218	66
In	C4:7C:8D:64:76:67	2019-07-08 00:20:02	Flower care	27.4	46	14	446	99
Out	C4:7C:8D:64:5D:17	2019-07-08 00:20:04	Flower care	21.7	30	172	216	64
In	C4:7C:8D:64:76:67	2019-07-08 00:40:01	Flower care	27.4	46	34	442	99
Out	C4:7C:8D:64:5D:17	2019-07-08 00:40:04	Flower care	21.9	30	0	217	66
In	C4:7C:8D:64:76:67	2019-07-08 01:00:02	Flower care	27.1	46	0	447	99
Out	C4:7C:8D:64:5D:17	2019-07-08 01:00:05	Flower care	21.8	30	177	218	64
In	C4:7C:8D:64:76:67	2019-07-08 01:20:01	Flower care	27.0	46	17	448	99
